Designator,Mid X,Mid Y,Rotation,Layer
BZ1,184.86,-117.55,0.0,top
C1,152.215,-84.45,0.0,top
C10,151.3375,-103.69,180.0,top
C11,150.7375,-105.64,0.0,top
C12,162.45,-126.4,90.0,top
C13,170.5,-104.825,90.0,bottom
C14,170.21,-127.745,90.0,top
C15,148.51,-90.57,270.0,top
C16,159.56,-108.435,90.0,bottom
C17,152.215,-87.6,0.0,top
C18,171.94,-127.745,90.0,top
C19,144.93,-119.5375,90.0,bottom
C2,175.38,-101.35,180.0,bottom
C20,142.075,-114.655,0.0,top
C21,140.1425,-124.27,180.0,top
C3,174.55,-99.4,180.0,bottom
C4,177.8375,-88.08,0.0,top
C5,175.38,-86.2,0.0,top
C6,151.3375,-102.04,180.0,top
C7,152.215,-86.05,0.0,top
C8,151.3375,-100.44,180.0,top
C9,156.17,-83.675,90.0,top
D1,169.08,-69.6725,270.0,top
D2,166.49,-69.6725,270.0,top
D3,163.9,-69.6725,270.0,top
D4,161.31,-69.6725,270.0,top
J1,144.84,-125.9,0.0,bottom
J2,165.05,-75.0,270.0,bottom
J3,183.49,-104.22,270.0,top
J4,183.465,-93.07,270.0,top
J5,162.025,-92.4,90.0,bottom
J6,170.65,-92.5,90.0,bottom
J7,174.05,-113.55,0.0,top
Q1,184.8975,-110.66,0.0,top
R1,187.62,-110.535,270.0,top
R2,182.97,-97.95,180.0,top
R3,182.965,-88.27,180.0,top
R4,169.475,-125.325,0.0,top
R5,172.69,-125.345,180.0,top
RN1,165.27,-66.1,180.0,top
RN2,143.62,-102.43,90.0,bottom
SW1,159.55,-129.5125,90.0,top
SW2,167.1,-129.5125,90.0,top
SW3,175.09,-129.545,90.0,top
SW4,142.81,-102.08,0.0,top
SW5,151.35,-131.98,0.0,top
U1,165.075,-92.15,270.0,top
U2,164.7,-119.04,270.0,bottom
U3,141.92,-119.48,0.0,top
U4,165.1,-105.6,180.0,bottom
Y1,151.625,-90.3,0.0,top
